UserID,Outcome1ID,Outcome2ID
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,8
1,1,9
1,1,10
1,1,12
1,1,13
1,1,14
1,1,16
1,1,17
1,1,19
1,1,22
1,1,23
1,1,24
1,1,27
1,1,28
1,1,29
1,1,32
1,1,33
1,1,35
1,1,36
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,61
1,1,65
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,74
1,1,76
1,1,78
1,1,80
1,1,81
1,1,83
1,1,86
1,1,90
1,2,3
1,2,4
1,2,5
1,2,6
1,2,8
1,2,9
1,2,10
1,2,12
1,2,13
1,2,14
1,2,16
1,2,17
1,2,19
1,2,22
1,2,23
1,2,24
1,2,27
1,2,28
1,2,29
1,2,32
1,2,33
1,2,35
1,2,36
1,2,41
1,2,42
1,2,43
1,2,44
1,2,45
1,2,46
1,2,47
1,2,48
1,2,49
1,2,52
1,2,53
1,2,54
1,2,55
1,2,56
1,2,57
1,2,58
1,2,61
1,2,65
1,2,68
1,2,69
1,2,70
1,2,71
1,2,72
1,2,74
1,2,76
1,2,78
1,2,80
1,2,81
1,2,83
1,2,86
1,2,90
1,3,4
1,3,5
1,3,6
1,3,8
1,3,9
1,3,10
1,3,12
1,3,13
1,3,14
1,3,16
1,3,17
1,3,19
1,3,22
1,3,23
1,3,24
1,3,27
1,3,28
1,3,29
1,3,32
1,3,33
1,3,35
1,3,36
1,3,41
1,3,42
1,3,43
1,3,44
1,3,45
1,3,46
1,3,47
1,3,48
1,3,49
1,3,52
1,3,53
1,3,54
1,3,55
1,3,56
1,3,57
1,3,58
1,3,61
1,3,65
1,3,68
1,3,69
1,3,70
1,3,71
1,3,72
1,3,74
1,3,76
1,3,78
1,3,80
1,3,81
1,3,83
1,3,86
1,3,90
1,4,5
1,4,6
1,4,8
1,4,9
1,4,10
1,4,12
1,4,13
1,4,14
1,4,16
1,4,17
1,4,19
1,4,22
1,4,23
1,4,24
1,4,27
1,4,28
1,4,29
1,4,32
1,4,33
1,4,35
1,4,36
1,4,41
1,4,42
1,4,43
1,4,44
1,4,45
1,4,46
1,4,47
1,4,48
1,4,49
1,4,52
1,4,53
1,4,54
1,4,55
1,4,56
1,4,57
1,4,58
1,4,61
1,4,65
1,4,68
1,4,69
1,4,70
1,4,71
1,4,72
1,4,74
1,4,76
1,4,78
1,4,80
1,4,81
1,4,83
1,4,86
1,4,90
1,5,6
1,5,8
1,5,9
1,5,10
1,5,12
1,5,13
1,5,14
1,5,16
1,5,17
1,5,19
1,5,22
1,5,23
1,5,24
1,5,27
1,5,28
1,5,29
1,5,32
1,5,33
1,5,35
1,5,36
1,5,41
1,5,42
1,5,43
1,5,44
1,5,45
1,5,46
1,5,47
1,5,48
1,5,49
1,5,52
1,5,53
1,5,54
1,5,55
1,5,56
1,5,57
1,5,58
1,5,61
1,5,65
1,5,68
1,5,69
1,5,70
1,5,71
1,5,72
1,5,74
1,5,76
1,5,78
1,5,80
1,5,81
1,5,83
1,5,86
1,5,90
1,6,8
1,6,9
1,6,10
1,6,12
1,6,13
1,6,14
1,6,16
1,6,17
1,6,19
1,6,22
1,6,23
1,6,24
1,6,27
1,6,28
1,6,29
1,6,32
1,6,33
1,6,35
1,6,36
1,6,41
1,6,42
1,6,43
1,6,44
1,6,45
1,6,46
1,6,47
1,6,48
1,6,49
1,6,52
1,6,53
1,6,54
1,6,55
1,6,56
1,6,57
1,6,58
1,6,61
1,6,65
1,6,68
1,6,69
1,6,70
1,6,71
1,6,72
1,6,74
1,6,76
1,6,78
1,6,80
1,6,81
1,6,83
1,6,86
1,6,90
1,7,11
1,7,15
1,7,18
1,7,20
1,7,21
1,7,25
1,7,26
1,7,30
1,7,31
1,7,34
1,7,37
1,7,38
1,7,39
1,7,40
1,7,50
1,7,51
1,7,59
1,7,60
1,7,62
1,7,63
1,7,64
1,7,66
1,7,67
1,7,73
1,7,75
1,7,77
1,7,79
1,7,82
1,7,84
1,7,85
1,7,87
1,7,88
1,7,89
1,7,91
1,7,92
1,7,93
1,7,94
1,7,95
1,7,96
1,7,97
1,7,98
1,7,99
1,7,100
1,7,101
1,7,102
1,7,103
1,7,104
1,7,105
1,7,106
1,7,107
1,7,108
1,7,109
1,7,110
1,7,111
1,7,112
1,7,113
1,7,114
